Date,Timestamp,Year,line_name,DeviceID,product_name,Shift,Planned,Qty,Good,Scrap,Runtime,Down
2024-06-01,2024-06-01 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 1000 Gas Turbine,Day,90,87,86,1,476,4
2024-06-01,2024-06-01 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 100 Centrifugal Pump,Swing,90,91,88,3,479,1
2024-06-01,2024-06-01 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 3000 Steam Turbine,Night,112,100,100,0,477,3
2024-06-01,2024-06-01 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 500 Booster Pump,Day,113,105,100,5,463,17
2024-06-01,2024-06-01 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 3000 Steam Turbine,Swing,103,100,100,0,473,7
2024-06-01,2024-06-01 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 500 Booster Pump,Night,107,99,96,3,473,7
2024-06-01,2024-06-01 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 500 Booster Pump,Day,76,68,66,2,475,5
2024-06-01,2024-06-01 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 1000 Gas Turbine,Swing,45,41,39,2,470,10
2024-06-01,2024-06-01 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 100 Centrifugal Pump,Night,59,55,53,2,471,9
2024-06-01,2024-06-01 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 2000 Gas Turbine,Day,50,44,42,2,464,16
2024-06-01,2024-06-01 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 350 Submersible Pump,Swing,53,46,44,2,459,21
2024-06-01,2024-06-01 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 200 Centrifugal Pump,Night,103,64,61,3,312,168
2024-06-01,2024-06-01 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Day,113,103,102,1,468,12
2024-06-01,2024-06-01 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 10 Control Valve,Swing,109,100,98,2,466,14
2024-06-01,2024-06-01 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Night,70,69,67,2,475,5
