PO_Number,Date,VendorName,Plant,Qty,UnitCost,Amount,PromisedDays,ActualDays,OnTime
500001,2024-06-01,Honeywell Sensing,Riverside Plant,464,396.0,183744.0,22,29,False
500002,2024-06-01,ElectroParts Co,Riverside Plant,678,387.75,262894.5,26,36,False
500003,2024-06-01,Honeywell Sensing,Rheinland Plant,363,171.84,62377.92,10,21,False
500004,2024-06-01,SealTech Polymers,Riverside Plant,55,96.21,5291.55,26,33,False
500005,2024-06-01,Honeywell Sensing,Riverside Plant,289,25.69,7424.41,29,35,False
500006,2024-06-01,ElectroParts Co,Riverside Plant,950,170.03,161528.5,11,10,True
500007,2024-06-01,ElectroParts Co,Rheinland Plant,244,445.55,108714.2,3,5,False
500008,2024-06-01,NordSteel AG,Rheinland Plant,800,173.33,138664.0,8,17,False
500009,2024-06-01,ElectroParts Co,Rheinland Plant,493,445.68,219720.24,17,24,False
500010,2024-06-02,PrecisionCast Foundry,Riverside Plant,646,410.16,264963.36,8,7,True
500011,2024-06-02,SealTech Polymers,Riverside Plant,569,85.89,48871.41,5,8,False
500012,2024-06-02,Honeywell Sensing,Rheinland Plant,572,309.92,177274.24,15,16,False
500013,2024-06-03,CopperLine Metals,Riverside Plant,895,290.63,260113.85,21,30,False
500014,2024-06-03,SealTech Polymers,Rheinland Plant,304,287.5,87400.0,10,15,False
500015,2024-06-03,ElectroParts Co,Rheinland Plant,573,91.05,52171.65,4,8,False
500016,2024-06-03,Siemens Industrial,Rheinland Plant,457,463.62,211874.34,18,18,True
500017,2024-06-03,CopperLine Metals,Riverside Plant,643,459.43,295413.49,6,6,True
500018,2024-06-03,Honeywell Sensing,Rheinland Plant,579,341.29,197606.91,16,25,False
500019,2024-06-04,BearingWorks Ltd,Riverside Plant,932,77.48,72211.36,20,24,False
500020,2024-06-04,PrecisionCast Foundry,Rheinland Plant,575,455.43,261872.25,18,29,False
500021,2024-06-04,BearingWorks Ltd,Riverside Plant,369,461.16,170168.04,20,26,False
500022,2024-06-04,Honeywell Sensing,Riverside Plant,44,364.71,16047.24,22,25,False
500023,2024-06-04,NordSteel AG,Rheinland Plant,929,57.25,53185.25,10,19,False
500024,2024-06-04,CopperLine Metals,Riverside Plant,366,46.5,17019.0,8,14,False
500025,2024-06-04,FastenRight Supply,Rheinland Plant,824,89.75,73954.0,16,14,True
500026,2024-06-04,Honeywell Sensing,Riverside Plant,877,333.5,292479.5,16,16,True
500027,2024-06-05,FastenRight Supply,Rheinland Plant,537,446.96,240017.52,23,30,False
500028,2024-06-05,Honeywell Sensing,Riverside Plant,680,362.54,246527.2,19,25,False
500029,2024-06-05,ElectroParts Co,Rheinland Plant,201,159.43,32045.43,4,13,False
500030,2024-06-05,Honeywell Sensing,Rheinland Plant,907,340.92,309214.44,19,24,False
500031,2024-06-05,GE Power Systems,Rheinland Plant,977,139.64,136428.28,27,36,False
500032,2024-06-05,GE Power Systems,Rheinland Plant,512,376.29,192660.48,27,35,False
500033,2024-06-05,ElectroParts Co,Rheinland Plant,603,137.03,82629.09,20,18,True
500034,2024-06-06,Honeywell Sensing,Rheinland Plant,409,208.81,85403.29,23,31,False
500035,2024-06-06,GE Power Systems,Riverside Plant,86,72.86,6265.96,14,22,False
500036,2024-06-06,FastenRight Supply,Rheinland Plant,742,484.75,359684.5,6,4,True
500037,2024-06-06,FastenRight Supply,Rheinland Plant,821,475.92,390730.32,16,14,True
500038,2024-06-06,NordSteel AG,Riverside Plant,37,355.76,13163.12,26,35,False
500039,2024-06-07,PrecisionCast Foundry,Rheinland Plant,461,200.54,92448.94,6,4,True
500040,2024-06-07,ElectroParts Co,Riverside Plant,276,204.74,56508.24,4,5,False
500041,2024-06-07,BearingWorks Ltd,Riverside Plant,829,7.0,5803.0,28,29,False
500042,2024-06-08,GE Power Systems,Riverside Plant,264,117.73,31080.72,15,25,False
500043,2024-06-08,FastenRight Supply,Riverside Plant,470,433.23,203618.1,18,21,False
500044,2024-06-08,BearingWorks Ltd,Rheinland Plant,929,59.06,54866.74,13,21,False
500045,2024-06-08,SealTech Polymers,Riverside Plant,264,280.48,74046.72,10,12,False
500046,2024-06-09,ElectroParts Co,Riverside Plant,281,115.87,32559.47,14,19,False
500047,2024-06-09,NordSteel AG,Rheinland Plant,159,202.91,32262.69,26,28,False
500048,2024-06-09,PrecisionCast Foundry,Rheinland Plant,967,375.67,363272.89,20,23,False
500049,2024-06-09,FastenRight Supply,Riverside Plant,561,111.63,62624.43,24,35,False
500050,2024-06-09,BearingWorks Ltd,Rheinland Plant,146,174.02,25406.92,29,31,False
500051,2024-06-09,Honeywell Sensing,Rheinland Plant,978,114.16,111648.48,13,20,False
500052,2024-06-09,FastenRight Supply,Rheinland Plant,615,244.89,150607.35,6,12,False
500053,2024-06-10,BearingWorks Ltd,Riverside Plant,591,250.97,148323.27,14,16,False
500054,2024-06-10,Honeywell Sensing,Riverside Plant,158,230.0,36340.0,15,16,False
500055,2024-06-10,PrecisionCast Foundry,Rheinland Plant,632,386.77,244438.64,29,39,False
500056,2024-06-10,CopperLine Metals,Riverside Plant,174,228.44,39748.56,7,8,False
500057,2024-06-10,Siemens Industrial,Riverside Plant,62,323.31,20045.22,14,19,False
500058,2024-06-10,PrecisionCast Foundry,Riverside Plant,166,18.25,3029.5,14,22,False
500059,2024-06-10,SealTech Polymers,Riverside Plant,839,137.78,115597.42,8,18,False
500060,2024-06-10,Honeywell Sensing,Rheinland Plant,980,360.48,353270.4,22,26,False
500061,2024-06-10,BearingWorks Ltd,Rheinland Plant,421,50.81,21391.01,6,10,False
500062,2024-06-10,Siemens Industrial,Riverside Plant,81,310.84,25178.04,29,40,False
500063,2024-06-11,FastenRight Supply,Riverside Plant,158,289.79,45786.82,4,4,True
500064,2024-06-11,Honeywell Sensing,Riverside Plant,873,324.49,283279.77,19,20,False
500065,2024-06-11,PrecisionCast Foundry,Rheinland Plant,401,21.71,8705.71,26,29,False
500066,2024-06-11,BearingWorks Ltd,Riverside Plant,685,197.78,135479.3,25,23,True
500067,2024-06-11,NordSteel AG,Rheinland Plant,414,410.33,169876.62,4,6,False
500068,2024-06-12,GE Power Systems,Rheinland Plant,691,421.02,290924.82,5,5,True
500069,2024-06-12,GE Power Systems,Rheinland Plant,826,256.53,211893.78,20,30,False
500070,2024-06-12,SealTech Polymers,Rheinland Plant,162,407.67,66042.54,20,24,False
500071,2024-06-12,GE Power Systems,Riverside Plant,199,98.38,19577.62,28,33,False
500072,2024-06-12,SealTech Polymers,Riverside Plant,541,417.63,225937.83,22,26,False
500073,2024-06-12,Siemens Industrial,Riverside Plant,67,134.33,9000.11,29,37,False
500074,2024-06-12,BearingWorks Ltd,Riverside Plant,514,441.63,226997.82,15,22,False
500075,2024-06-13,FastenRight Supply,Rheinland Plant,983,76.05,74757.15,8,9,False
500076,2024-06-13,FastenRight Supply,Riverside Plant,926,189.56,175532.56,10,11,False
500077,2024-06-13,Honeywell Sensing,Riverside Plant,706,242.14,170950.84,13,16,False
500078,2024-06-13,BearingWorks Ltd,Rheinland Plant,800,104.19,83352.0,18,27,False
500079,2024-06-13,GE Power Systems,Rheinland Plant,831,424.95,353133.45,17,25,False
500080,2024-06-14,SealTech Polymers,Riverside Plant,729,263.42,192033.18,9,16,False
500081,2024-06-14,ElectroParts Co,Rheinland Plant,934,99.71,93129.14,6,11,False
500082,2024-06-14,NordSteel AG,Rheinland Plant,784,385.98,302608.32,16,26,False
500083,2024-06-15,GE Power Systems,Riverside Plant,27,166.8,4503.6,7,16,False
500084,2024-06-15,Honeywell Sensing,Rheinland Plant,877,164.22,144020.94,4,8,False
500085,2024-06-15,GE Power Systems,Riverside Plant,70,306.49,21454.3,24,27,False
500086,2024-06-15,BearingWorks Ltd,Rheinland Plant,369,373.41,137788.29,6,8,False
500087,2024-06-15,Honeywell Sensing,Rheinland Plant,630,133.39,84035.7,27,32,False
500088,2024-06-15,CopperLine Metals,Riverside Plant,937,424.8,398037.6,18,21,False
500089,2024-06-15,CopperLine Metals,Riverside Plant,88,472.71,41598.48,16,24,False
500090,2024-06-16,Siemens Industrial,Rheinland Plant,27,481.37,12996.99,9,10,False
500091,2024-06-16,GE Power Systems,Rheinland Plant,445,238.71,106225.95,29,34,False
500092,2024-06-16,FastenRight Supply,Rheinland Plant,703,132.24,92964.72,19,22,False
500093,2024-06-16,Siemens Industrial,Riverside Plant,399,217.56,86806.44,24,23,True
500094,2024-06-16,ElectroParts Co,Rheinland Plant,441,438.86,193537.26,23,34,False
500095,2024-06-17,BearingWorks Ltd,Riverside Plant,494,245.08,121069.52,22,20,True
500096,2024-06-17,ElectroParts Co,Riverside Plant,583,220.77,128708.91,25,23,True
500097,2024-06-17,SealTech Polymers,Rheinland Plant,241,399.26,96221.66,5,7,False
500098,2024-06-17,BearingWorks Ltd,Rheinland Plant,832,107.95,89814.4,8,17,False
500099,2024-06-17,ElectroParts Co,Riverside Plant,328,450.3,147698.4,14,23,False
500100,2024-06-18,Honeywell Sensing,Riverside Plant,68,466.85,31745.8,22,20,True
500101,2024-06-18,GE Power Systems,Rheinland Plant,961,204.63,196649.43,10,17,False
500102,2024-06-18,NordSteel AG,Riverside Plant,297,289.32,85928.04,4,14,False
500103,2024-06-18,ElectroParts Co,Riverside Plant,495,394.36,195208.2,3,5,False
500104,2024-06-18,BearingWorks Ltd,Rheinland Plant,353,225.33,79541.49,6,5,True
500105,2024-06-18,NordSteel AG,Riverside Plant,128,169.23,21661.44,7,5,True
500106,2024-06-18,SealTech Polymers,Riverside Plant,448,332.42,148924.16,27,35,False
500107,2024-06-18,FastenRight Supply,Riverside Plant,323,468.34,151273.82,19,28,False
500108,2024-06-18,SealTech Polymers,Riverside Plant,445,234.2,104219.0,24,35,False
500109,2024-06-19,CopperLine Metals,Rheinland Plant,910,367.04,334006.4,7,9,False
500110,2024-06-19,CopperLine Metals,Riverside Plant,63,408.34,25725.42,12,22,False
500111,2024-06-19,GE Power Systems,Rheinland Plant,148,142.4,21075.2,4,9,False
500112,2024-06-19,PrecisionCast Foundry,Rheinland Plant,891,202.14,180106.74,9,7,True
500113,2024-06-19,CopperLine Metals,Riverside Plant,516,476.77,246013.32,11,15,False
500114,2024-06-19,Honeywell Sensing,Rheinland Plant,871,357.67,311530.57,10,20,False
500115,2024-06-19,CopperLine Metals,Riverside Plant,345,220.1,75934.5,14,14,True
500116,2024-06-19,NordSteel AG,Rheinland Plant,810,260.85,211288.5,23,34,False
500117,2024-06-19,FastenRight Supply,Riverside Plant,74,123.51,9139.74,18,21,False
500118,2024-06-19,Siemens Industrial,Rheinland Plant,914,98.37,89910.18,21,32,False
500119,2024-06-20,NordSteel AG,Rheinland Plant,26,126.7,3294.2,24,22,True
500120,2024-06-20,BearingWorks Ltd,Riverside Plant,385,457.77,176241.45,8,10,False
500121,2024-06-20,BearingWorks Ltd,Rheinland Plant,700,446.18,312326.0,16,16,True
500122,2024-06-20,CopperLine Metals,Riverside Plant,566,368.96,208831.36,23,24,False
500123,2024-06-20,Siemens Industrial,Rheinland Plant,706,413.99,292276.94,4,14,False
500124,2024-06-20,GE Power Systems,Riverside Plant,911,240.34,218949.74,17,15,True
500125,2024-06-20,SealTech Polymers,Riverside Plant,641,9.61,6160.01,12,11,True
500126,2024-06-20,Honeywell Sensing,Rheinland Plant,391,124.06,48507.46,25,27,False
500127,2024-06-21,Siemens Industrial,Riverside Plant,168,181.69,30523.92,15,14,True
500128,2024-06-21,CopperLine Metals,Riverside Plant,456,146.28,66703.68,7,10,False
500129,2024-06-21,PrecisionCast Foundry,Rheinland Plant,612,432.78,264861.36,13,12,True
500130,2024-06-21,ElectroParts Co,Rheinland Plant,174,390.46,67940.04,3,14,False
500131,2024-06-21,NordSteel AG,Rheinland Plant,422,293.81,123987.82,3,7,False
500132,2024-06-21,FastenRight Supply,Rheinland Plant,194,452.3,87746.2,6,14,False
500133,2024-06-22,Honeywell Sensing,Riverside Plant,529,481.14,254523.06,26,37,False
500134,2024-06-22,GE Power Systems,Rheinland Plant,91,203.52,18520.32,8,12,False
500135,2024-06-22,FastenRight Supply,Riverside Plant,598,265.03,158487.94,22,22,True
500136,2024-06-22,CopperLine Metals,Riverside Plant,814,10.29,8376.06,14,19,False
500137,2024-06-22,PrecisionCast Foundry,Rheinland Plant,235,464.08,109058.8,18,24,False
500138,2024-06-22,NordSteel AG,Riverside Plant,368,30.87,11360.16,16,15,True
500139,2024-06-23,FastenRight Supply,Riverside Plant,656,41.13,26981.28,26,24,True
500140,2024-06-23,ElectroParts Co,Riverside Plant,603,426.95,257450.85,14,18,False
500141,2024-06-23,PrecisionCast Foundry,Rheinland Plant,800,212.06,169648.0,14,22,False
500142,2024-06-23,FastenRight Supply,Rheinland Plant,772,233.82,180509.04,9,15,False
500143,2024-06-23,CopperLine Metals,Riverside Plant,467,327.58,152979.86,11,20,False
500144,2024-06-23,PrecisionCast Foundry,Riverside Plant,534,57.72,30822.48,4,3,True
500145,2024-06-24,SealTech Polymers,Rheinland Plant,824,28.02,23088.48,22,33,False
500146,2024-06-24,FastenRight Supply,Riverside Plant,231,110.61,25550.91,21,21,True
500147,2024-06-25,CopperLine Metals,Rheinland Plant,435,188.07,81810.45,17,25,False
500148,2024-06-25,FastenRight Supply,Riverside Plant,562,341.78,192080.36,14,20,False
