Date,Product,Plant,Qty,Reorder,InTransit
2024-06-03,AquaFlow 100 Centrifugal Pump,Riverside Plant,591,75,181
2024-06-03,AquaFlow 100 Centrifugal Pump,Rheinland Plant,168,100,162
2024-06-03,AquaFlow 200 Centrifugal Pump,Riverside Plant,393,100,13
2024-06-03,AquaFlow 200 Centrifugal Pump,Rheinland Plant,183,100,62
2024-06-03,AquaFlow 350 Submersible Pump,Riverside Plant,244,100,43
2024-06-03,AquaFlow 350 Submersible Pump,Rheinland Plant,476,150,54
2024-06-03,AquaFlow 500 Booster Pump,Riverside Plant,174,50,148
2024-06-03,AquaFlow 500 Booster Pump,Rheinland Plant,289,150,157
2024-06-03,HelioGen 1000 Gas Turbine,Riverside Plant,256,75,168
2024-06-03,HelioGen 1000 Gas Turbine,Rheinland Plant,372,150,178
2024-06-03,HelioGen 2000 Gas Turbine,Riverside Plant,138,75,90
2024-06-03,HelioGen 2000 Gas Turbine,Rheinland Plant,538,100,72
2024-06-03,HelioGen 3000 Steam Turbine,Riverside Plant,507,50,42
2024-06-03,HelioGen 3000 Steam Turbine,Rheinland Plant,247,100,50
2024-06-03,FlowGuard 10 Control Valve,Riverside Plant,208,75,18
2024-06-03,FlowGuard 10 Control Valve,Rheinland Plant,5,75,40
2024-06-03,FlowGuard 25 Control Valve,Riverside Plant,295,150,132
2024-06-03,FlowGuard 25 Control Valve,Rheinland Plant,21,100,101
2024-06-03,FlowGuard 50 Safety Valve,Riverside Plant,295,50,40
2024-06-03,FlowGuard 50 Safety Valve,Rheinland Plant,343,150,183
2024-06-03,TorqueMax 15 Induction Motor,Riverside Plant,421,100,37
2024-06-03,TorqueMax 15 Induction Motor,Rheinland Plant,105,100,61
2024-06-03,TorqueMax 30 Induction Motor,Riverside Plant,498,150,51
2024-06-03,TorqueMax 30 Induction Motor,Rheinland Plant,141,150,54
2024-06-03,TorqueMax 60 Servo Motor,Riverside Plant,291,150,92
2024-06-03,TorqueMax 60 Servo Motor,Rheinland Plant,11,150,79
2024-06-03,SenseLine Temperature Sensor,Riverside Plant,26,75,85
2024-06-03,SenseLine Temperature Sensor,Rheinland Plant,347,50,65
2024-06-03,SenseLine Pressure Sensor,Riverside Plant,203,100,172
2024-06-03,SenseLine Pressure Sensor,Rheinland Plant,86,75,97
2024-06-03,SenseLine Vibration Sensor,Riverside Plant,197,75,39
2024-06-03,SenseLine Vibration Sensor,Rheinland Plant,424,75,83
2024-06-03,Pump Seal Kit,Riverside Plant,388,50,79
2024-06-03,Pump Seal Kit,Rheinland Plant,278,100,99
2024-06-03,Turbine Bearing Set,Riverside Plant,531,75,79
2024-06-03,Turbine Bearing Set,Rheinland Plant,410,100,26
2024-06-03,Pump Impeller,Riverside Plant,416,150,120
2024-06-03,Pump Impeller,Rheinland Plant,122,150,160
2024-06-03,Turbine Blade Set,Riverside Plant,488,150,14
2024-06-03,Turbine Blade Set,Rheinland Plant,3,75,134
2024-06-10,AquaFlow 100 Centrifugal Pump,Riverside Plant,426,75,152
2024-06-10,AquaFlow 100 Centrifugal Pump,Rheinland Plant,353,75,172
2024-06-10,AquaFlow 200 Centrifugal Pump,Riverside Plant,329,75,169
2024-06-10,AquaFlow 200 Centrifugal Pump,Rheinland Plant,275,100,190
2024-06-10,AquaFlow 350 Submersible Pump,Riverside Plant,270,50,17
2024-06-10,AquaFlow 350 Submersible Pump,Rheinland Plant,271,150,171
2024-06-10,AquaFlow 500 Booster Pump,Riverside Plant,270,75,164
2024-06-10,AquaFlow 500 Booster Pump,Rheinland Plant,341,75,93
2024-06-10,HelioGen 1000 Gas Turbine,Riverside Plant,172,100,91
2024-06-10,HelioGen 1000 Gas Turbine,Rheinland Plant,57,150,59
2024-06-10,HelioGen 2000 Gas Turbine,Riverside Plant,437,100,31
2024-06-10,HelioGen 2000 Gas Turbine,Rheinland Plant,451,100,17
2024-06-10,HelioGen 3000 Steam Turbine,Riverside Plant,550,75,174
2024-06-10,HelioGen 3000 Steam Turbine,Rheinland Plant,71,150,173
2024-06-10,FlowGuard 10 Control Valve,Riverside Plant,153,75,64
2024-06-10,FlowGuard 10 Control Valve,Rheinland Plant,13,150,52
2024-06-10,FlowGuard 25 Control Valve,Riverside Plant,332,75,141
2024-06-10,FlowGuard 25 Control Valve,Rheinland Plant,268,150,39
2024-06-10,FlowGuard 50 Safety Valve,Riverside Plant,340,100,153
2024-06-10,FlowGuard 50 Safety Valve,Rheinland Plant,306,150,95
2024-06-10,TorqueMax 15 Induction Motor,Riverside Plant,430,100,30
2024-06-10,TorqueMax 15 Induction Motor,Rheinland Plant,76,75,6
2024-06-10,TorqueMax 30 Induction Motor,Riverside Plant,375,50,79
2024-06-10,TorqueMax 30 Induction Motor,Rheinland Plant,172,150,56
2024-06-10,TorqueMax 60 Servo Motor,Riverside Plant,240,150,170
2024-06-10,TorqueMax 60 Servo Motor,Rheinland Plant,549,75,143
2024-06-10,SenseLine Temperature Sensor,Riverside Plant,305,50,19
2024-06-10,SenseLine Temperature Sensor,Rheinland Plant,282,50,107
2024-06-10,SenseLine Pressure Sensor,Riverside Plant,266,100,117
2024-06-10,SenseLine Pressure Sensor,Rheinland Plant,529,100,93
2024-06-10,SenseLine Vibration Sensor,Riverside Plant,61,50,0
2024-06-10,SenseLine Vibration Sensor,Rheinland Plant,369,50,28
2024-06-10,Pump Seal Kit,Riverside Plant,389,50,89
2024-06-10,Pump Seal Kit,Rheinland Plant,417,100,22
2024-06-10,Turbine Bearing Set,Riverside Plant,558,75,183
2024-06-10,Turbine Bearing Set,Rheinland Plant,437,75,96
2024-06-10,Pump Impeller,Riverside Plant,588,75,121
2024-06-10,Pump Impeller,Rheinland Plant,324,100,146
2024-06-10,Turbine Blade Set,Riverside Plant,583,150,40
2024-06-10,Turbine Blade Set,Rheinland Plant,329,75,155
2024-06-17,AquaFlow 100 Centrifugal Pump,Riverside Plant,567,150,81
2024-06-17,AquaFlow 100 Centrifugal Pump,Rheinland Plant,266,150,129
2024-06-17,AquaFlow 200 Centrifugal Pump,Riverside Plant,288,50,47
2024-06-17,AquaFlow 200 Centrifugal Pump,Rheinland Plant,0,50,71
2024-06-17,AquaFlow 350 Submersible Pump,Riverside Plant,335,75,180
2024-06-17,AquaFlow 350 Submersible Pump,Rheinland Plant,532,50,101
2024-06-17,AquaFlow 500 Booster Pump,Riverside Plant,280,75,46
2024-06-17,AquaFlow 500 Booster Pump,Rheinland Plant,96,75,110
2024-06-17,HelioGen 1000 Gas Turbine,Riverside Plant,296,75,6
2024-06-17,HelioGen 1000 Gas Turbine,Rheinland Plant,560,75,86
2024-06-17,HelioGen 2000 Gas Turbine,Riverside Plant,155,75,178
2024-06-17,HelioGen 2000 Gas Turbine,Rheinland Plant,523,100,64
2024-06-17,HelioGen 3000 Steam Turbine,Riverside Plant,135,150,70
2024-06-17,HelioGen 3000 Steam Turbine,Rheinland Plant,390,50,32
2024-06-17,FlowGuard 10 Control Valve,Riverside Plant,365,75,8
2024-06-17,FlowGuard 10 Control Valve,Rheinland Plant,13,50,17
2024-06-17,FlowGuard 25 Control Valve,Riverside Plant,2,75,182
2024-06-17,FlowGuard 25 Control Valve,Rheinland Plant,519,50,86
2024-06-17,FlowGuard 50 Safety Valve,Riverside Plant,396,100,148
2024-06-17,FlowGuard 50 Safety Valve,Rheinland Plant,67,150,80
2024-06-17,TorqueMax 15 Induction Motor,Riverside Plant,405,50,143
2024-06-17,TorqueMax 15 Induction Motor,Rheinland Plant,561,150,88
2024-06-17,TorqueMax 30 Induction Motor,Riverside Plant,195,100,134
2024-06-17,TorqueMax 30 Induction Motor,Rheinland Plant,146,75,10
2024-06-17,TorqueMax 60 Servo Motor,Riverside Plant,535,50,100
2024-06-17,TorqueMax 60 Servo Motor,Rheinland Plant,519,100,14
2024-06-17,SenseLine Temperature Sensor,Riverside Plant,348,150,133
2024-06-17,SenseLine Temperature Sensor,Rheinland Plant,418,75,88
2024-06-17,SenseLine Pressure Sensor,Riverside Plant,182,100,19
2024-06-17,SenseLine Pressure Sensor,Rheinland Plant,219,150,195
2024-06-17,SenseLine Vibration Sensor,Riverside Plant,118,150,178
2024-06-17,SenseLine Vibration Sensor,Rheinland Plant,24,75,47
2024-06-17,Pump Seal Kit,Riverside Plant,271,75,155
2024-06-17,Pump Seal Kit,Rheinland Plant,342,50,37
2024-06-17,Turbine Bearing Set,Riverside Plant,263,50,7
2024-06-17,Turbine Bearing Set,Rheinland Plant,592,150,99
2024-06-17,Pump Impeller,Riverside Plant,394,50,47
2024-06-17,Pump Impeller,Rheinland Plant,230,50,64
2024-06-17,Turbine Blade Set,Riverside Plant,216,50,165
2024-06-17,Turbine Blade Set,Rheinland Plant,152,50,50
2024-06-24,AquaFlow 100 Centrifugal Pump,Riverside Plant,33,50,15
2024-06-24,AquaFlow 100 Centrifugal Pump,Rheinland Plant,279,75,158
